injection_id,M_c,q,s1_mag,s1_theta,s1_phi,s2_mag,s2_theta,s2_phi,iota,lambda_1,lambda_2,ra,dec,psi,d_L
15,0.6110445634392212,0.5746798219414772,0.530670135762223,0.08686061774164558,0.9450894180811957,0.6071822977028228,0.9923444224058834,0.31452360331101514,0.817005482652667,0.3626944585893651,0.48883578968339225,0.6961665685519078,0.4588456075662213,0.48952590335244217,0.1706724346170784
16,0.5899269841984235,0.5868235810581438,0.06997972529674407,0.30425762234004694,0.9544664324067123,0.5230604193166392,0.7634684979311335,0.8495734103751668,0.13398100149516146,0.28325810590392414,0.9638699027024588,0.9631088079457217,0.5489557576053106,0.6824193272914577,0.7842797739494372
17,0.9831291955281836,0.24997322825097004,0.6365302262917064,0.3198315277369589,0.6131169150384878,0.6512998442643796,0.06940353658670995,0.9315373651878666,0.9819216929844253,0.48741903741884823,0.6485998316829563,0.842615075296445,0.0020368124001103848,0.6405905207569275,0.9235833889120767
18,0.587662167741435,0.9743626202821135,0.45422449777538326,0.7744228317788238,0.8591678578635253,0.8536432898842471,0.48666466520508994,0.41361436399374185,0.19342545769402913,0.9575079356224668,0.38678939964963627,0.9153012218790246,0.5665757863821799,0.2174805588235858,0.3258189725475133
19,0.9313575577469225,0.5229397002569867,0.6534407569447309,0.08235969129327465,0.3158703781366033,0.6931368790528041,0.6037378770723691,0.08080097191627349,0.2697306044341613,0.8761662972799278,0.23104784206524798,0.8264824782368507,0.5026611943010876,0.5675832876976659,0.20653757995153854
20,0.27306301979742087,0.38482815340897975,0.923441993641298,0.4835961620294274,0.7020428139074031,0.011762029577170284,0.10856807149494216,0.031073196772283592,0.6759917653050598,0.12612566995967975,0.7422467911584224,0.3111146335127197,0.7493283453330871,0.9327762568389979,0.4964806829135154
21,0.7212625421472915,0.12250696823971544,0.6470371084220914,0.043791108820657426,0.04905936238190768,0.21853055983574884,0.9785402976162532,0.028876844012856676,0.8106448183375076,0.3197727536094731,0.17162184071652983,0.6623357400214672,0.4983435868055904,0.38858235252774204,0.15418813933427372
22,0.6726779632148258,0.41455287474882696,0.6257015482619613,0.4514056032043339,0.0647266814941721,0.8797433596065539,0.7845093817367662,0.6626096160972691,0.9900406601020669,0.8597726158436083,0.2659032635963819,0.8164678206495405,0.7002557403356461,0.37308193747132407,0.9852350802027505
23,0.34291802557998863,0.9386652357711863,0.9282140501838825,0.793927972322106,0.8669443752529348,0.5592336094467572,0.5843347925091914,0.9138739216770252,0.08511625553865035,0.8093556272872892,0.46495320731080797,0.2962603313076953,0.4988857801727772,0.5569934946777114,0.7496081198610569
24,0.661449145295558,0.0931716609576922,0.10312653707211593,0.6131729184965453,0.9831932352870066,0.9906020196217044,0.06931002764637174,0.024904318482344437,0.6492822852855513,0.42245613576212626,0.33838173929221316,0.6283391141547331,0.325762111545293,0.31290159203400447,0.5980258680743057
25,0.40247254328110516,0.5964230707549218,0.7816338232781073,0.9557473966462376,0.9332351800206224,0.5224451654035269,0.12036165571887054,0.9432912876261911,0.4115061814610398,0.8668106393299797,0.19472833171678672,0.6583889278145384,0.8828437295001219,0.15156186954295964,0.3550854839177678
26,0.19859380500720542,0.07887286047024115,0.5916839549284312,0.40596756489664043,0.9989910555088931,0.737676244336125,0.3710670103612428,0.1244839189180505,0.051439841454651955,0.04659933215200443,0.9424831023337988,0.7207504846686702,0.2591043853806938,0.9263420815611164,0.04678774355364035
27,0.46484614693054216,0.8638982005963323,0.8436322447241266,0.9357263560601592,0.18708858756803365,0.2832907576305735,0.7930605426820925,0.3631602624234944,0.21115817788625915,0.09783233117755863,0.27874121195680723,0.8653395066329509,0.8869848398187298,0.13257629363493725,0.517417298892954
28,0.5095121743745058,0.30046873683489705,0.46000673717999435,0.710454219964854,0.798002315284704,0.7528734529916313,0.20650490601702867,0.8419492792847926,0.13412220891384985,0.8836764233015305,0.16027369254039614,0.7284254545608762,0.1707815954630953,0.05264949694750147,0.988572852264482
